Company,Region,City,HR / Recruiter Email,Email Source,Other Emails,Domain,Careers / Apply URL,Sample Role
Trustpilot,Europe,Copenhagen / remote,careers@trustpilot.com,guessed pattern (verify before sending),hr@trustpilot.com,trustpilot.com,https://trustpilot.com/careers,
Tuta,Europe,Hannover / remote,careers@tuta.com,guessed pattern (verify before sending),hr@tuta.com,tuta.com,https://tuta.com/careers,
Typeform,Europe,Barcelona / remote,email@typeform.com,company website,,typeform.com,https://typeform.com/careers,
Unbabel,Europe,Lisbon / remote,careers@unbabel.com,guessed pattern (verify before sending),hr@unbabel.com,unbabel.com,https://unbabel.com/careers,
Veriff,Europe,Tallinn / remote,careers@veriff.com,guessed pattern (verify before sending),hr@veriff.com,veriff.com,https://veriff.com/careers,
Visma,Europe,Oslo / remote,careers@visma.com,guessed pattern (verify before sending),hr@visma.com,visma.com,https://visma.com/careers,
Vivaldi,Europe,Oslo / remote,team_vivaldi@vivaldi.com,company website,,vivaldi.com,https://vivaldi.com/careers,
Wallapop,Europe,Barcelona / remote,careers@wallapop.com,guessed pattern (verify before sending),hr@wallapop.com,wallapop.com,https://wallapop.com/careers,
Weaviate,Europe,Amsterdam / remote,careers@weaviate.io,guessed pattern (verify before sending),hr@weaviate.io,weaviate.io,https://weaviate.io/careers,
Wefox,Europe,Berlin / remote,careers@wefox.com,company website,"feedback@wefox.com, hr@wefox.com",wefox.com,https://wefox.com/careers,
WeTransfer,Europe,Amsterdam / remote,careers@wetransfer.com,guessed pattern (verify before sending),hr@wetransfer.com,wetransfer.com,https://wetransfer.com/careers,
Wise,Europe,London / remote,ouvidoria@wise.com,company website,u003eouvidoria@wise.com,wise.com,https://wise.com/careers,
Wolt,Europe,Helsinki / remote,careers@wolt.com,guessed pattern (verify before sending),hr@wolt.com,wolt.com,https://wolt.com/careers,
Xeneta,Europe,Oslo / remote,talent@xeneta.com,company website,info@xeneta.com,xeneta.com,https://xeneta.com/careers,
Zalando,Europe,Berlin / remote,careers@zalando.com,guessed pattern (verify before sending),hr@zalando.com,zalando.com,https://zalando.com/careers,
Zepz,Europe,London / remote,careers@zepz.com,guessed pattern (verify before sending),hr@zepz.com,zepz.com,https://zepz.com/careers,
Zettle,Europe,Stockholm / remote,careers@zettle.com,guessed pattern (verify before sending),hr@zettle.com,zettle.com,https://zettle.com/careers,
6sense,Remote,USA,jobs@6sense.com,job posting,,,https://jobicy.com/jobs/147747-senior-software-engineer,Senior Software Engineer
Appwrite,Remote,Worldwide remote,careers@appwrite.io,guessed pattern (verify before sending),hr@appwrite.io,appwrite.io,https://appwrite.io/careers,
Azumo,Remote,Buenos Aires,people@azumo.co,job posting,,,https://weworkremotely.com/remote-jobs/azumo-technical-leader-latin-america,Technical Leader - Latin America
Caylent,Remote,Canada,hr@caylent.com,job posting,talent@caylent.com,,https://jobicy.com/jobs/149035-customer-solutions-architect-amazon-connect,"Customer Solutions Architect, Amazon Connect"
Coursera,Remote,USA,recruiting@coursera.org,job posting,,,https://jobicy.com/jobs/147697-senior-seo-manager-2,Senior SEO Manager
Cresta,Remote,Canada,recruiting@cresta.ai,job posting,,,https://jobicy.com/jobs/146081-senior-software-engineer-backend-platform-team,"Senior Software Engineer, Backend - Platform Team"
Customer.io,Remote,"LATAM,  Canada,  USA",jobs@customer.io,job posting,,,https://jobicy.com/jobs/144856-senior-data-scientist-4,Senior Data Scientist
Deepgram,Remote,APAC,careers@deepgram.com,job posting,,,https://jobicy.com/jobs/150352-senior-pre-sales-engineer-singapore,Senior Pre-Sales Engineer (Singapore)
Directus,Remote,Worldwide remote,careers@directus.io,guessed pattern (verify before sending),hr@directus.io,directus.io,https://directus.io/careers,
Mitre Media,Remote,"USA, Canada, USA timezones",jobs@mitremedia.com,job posting,,,https://remotive.com/remote-jobs/software-development/tech-lead-full-stack-rails-engineer-2069746,Tech Lead Full-Stack Rails Engineer
Neon,Remote,Worldwide remote,careers@neon.tech,guessed pattern (verify before sending),hr@neon.tech,neon.tech,https://neon.tech/careers,
Pair Team,Remote,USA,recruiting@pairteam.com,job posting,,,https://jobicy.com/jobs/146199-senior-security-engineer,Senior Security Engineer
PointClickCare,Remote,Canada,recruitment@pointclickcare.com,job posting,,,https://jobicy.com/jobs/149241-canada-sr-application-engineer-salesforce-agentforce-ai,Canada- Sr Application Engineer (Salesforce-Agentforce Ai)
Sentry,Remote,Worldwide remote,careers@sentry.io,guessed pattern (verify before sending),hr@sentry.io,sentry.io,https://sentry.io/careers,
Supabase,Remote,Worldwide remote,abuse@supabase.com,company website,"security@supabase.com, help-events@supabase.com",supabase.com,https://supabase.com/careers,
